County,Voter Gender
BARBOUR,M
BARBOUR,
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
CABELL,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
RANDOLPH,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
HARRISON,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,M
BARBOUR,
HARRISON,M
BARBOUR,
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,M
BARBOUR,M
LEWIS,M
BARBOUR,M
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,F
BARBOUR,M
BARBOUR,F
BARBOUR,F
MINERAL,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,M
BERKELEY,M
BERKELEY,M
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
JEFFERSON,F
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,M
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,F
GREENBRIER,M
BERKELEY,M
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,M
BERKELEY,M
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
JEFFERSON,M
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,M
MINERAL,
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,M
BERKELEY,F
JEFFERSON,F
BERKELEY,F
BERKELEY,M
BERKELEY,M
BERKELEY,F
MINERAL,M
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,M
JEFFERSON,M
BERKELEY,F
BERKELEY,F
BERKELEY,M
BERKELEY,F
MORGAN,F
BERKELEY,M
BERKELEY,F
BERKELEY,F
BERKELEY,F
BERKELEY,F
