County,Voter Age
BARBOUR,61.2
BARBOUR,61.3
BARBOUR,61.3
BARBOUR,61.4
BARBOUR,61.4
BARBOUR,61.4
BARBOUR,61.4
BARBOUR,61.5
BARBOUR,61.5
BARBOUR,61.5
BARBOUR,61.6
BARBOUR,61.6
BARBOUR,61.7
BARBOUR,61.7
BARBOUR,61.8
BARBOUR,61.8
BARBOUR,61.8
BARBOUR,61.8
BARBOUR,61.9
BARBOUR,62
BARBOUR,62
BARBOUR,62
BARBOUR,62.1
BARBOUR,62.1
BARBOUR,62.1
BARBOUR,62.1
BARBOUR,62.1
BARBOUR,62.1
BARBOUR,62.1
BARBOUR,62.2
BARBOUR,62.2
BARBOUR,62.2
BARBOUR,62.2
BARBOUR,62.3
BARBOUR,62.4
BARBOUR,62.4
BARBOUR,62.4
BARBOUR,62.6
BARBOUR,62.6
BARBOUR,62.6
BARBOUR,62.6
BARBOUR,62.6
BARBOUR,62.7
BARBOUR,62.8
BARBOUR,62.8
BARBOUR,63
BARBOUR,63.1
BARBOUR,63.1
BARBOUR,63.2
BARBOUR,63.2
BARBOUR,63.2
BARBOUR,63.4
BARBOUR,63.4
BARBOUR,63.4
BARBOUR,63.4
BARBOUR,63.5
BARBOUR,63.5
BARBOUR,63.5
BARBOUR,63.6
BARBOUR,63.6
BARBOUR,63.6
BARBOUR,63.6
BARBOUR,63.6
BARBOUR,63.7
BARBOUR,63.7
BARBOUR,63.7
BARBOUR,63.8
BARBOUR,63.8
BARBOUR,63.8
BARBOUR,63.8
BARBOUR,63.9
BARBOUR,63.9
BARBOUR,63.9
BARBOUR,63.9
BARBOUR,64
BARBOUR,64
BARBOUR,64.1
BARBOUR,64.1
BARBOUR,64.1
BARBOUR,64.1
BARBOUR,64.1
BARBOUR,64.1
BARBOUR,64.2
BARBOUR,64.2
BARBOUR,64.4
BARBOUR,64.4
BARBOUR,64.4
BARBOUR,64.5
BARBOUR,64.6
BARBOUR,64.6
BARBOUR,64.6
BARBOUR,64.7
BARBOUR,64.8
BARBOUR,64.8
BARBOUR,64.8
BARBOUR,64.8
BARBOUR,64.8
BARBOUR,64.9
BARBOUR,64.9
BARBOUR,65.1
BARBOUR,65.2
BARBOUR,65.2
BARBOUR,65.2
BARBOUR,65.3
BARBOUR,65.4
BARBOUR,65.4
BARBOUR,65.4
BARBOUR,65.5
BARBOUR,65.5
BARBOUR,65.5
BARBOUR,65.5
BARBOUR,65.5
BARBOUR,65.6
BARBOUR,65.7
BARBOUR,65.8
BARBOUR,65.8
BARBOUR,65.8
BARBOUR,65.9
BARBOUR,65.9
BARBOUR,66
BARBOUR,66
BARBOUR,66
BARBOUR,66
BARBOUR,66
BARBOUR,66
BARBOUR,66
BARBOUR,66.1
BARBOUR,66.1
BARBOUR,66.1
BARBOUR,66.1
BARBOUR,66.1
BARBOUR,66.2
BARBOUR,66.2
BARBOUR,66.2
BARBOUR,66.3
BARBOUR,66.3
BARBOUR,66.3
BARBOUR,66.4
BARBOUR,66.4
BARBOUR,66.4
BARBOUR,66.4
BARBOUR,66.6
BARBOUR,66.6
BARBOUR,66.6
BARBOUR,66.7
BARBOUR,66.7
BARBOUR,66.7
BARBOUR,66.7
BARBOUR,66.8
BARBOUR,66.8
BARBOUR,66.8
BARBOUR,66.8
BARBOUR,66.8
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,66.9
BARBOUR,67
BARBOUR,67.1
BARBOUR,67.1
BARBOUR,67.2
BARBOUR,67.2
BARBOUR,67.2
BARBOUR,67.2
BARBOUR,67.3
BARBOUR,67.3
BARBOUR,67.3
BARBOUR,67.3
BARBOUR,67.4
BARBOUR,67.5
BARBOUR,67.5
BARBOUR,67.6
BARBOUR,67.6
BARBOUR,67.6
BARBOUR,67.8
BARBOUR,67.8
BARBOUR,67.9
BARBOUR,67.9
BARBOUR,68
BARBOUR,68
BARBOUR,68
BARBOUR,68.1
BARBOUR,68.1
BARBOUR,68.2
BARBOUR,68.2
BARBOUR,68.2
BARBOUR,68.2
BARBOUR,68.2
BARBOUR,68.3
BARBOUR,68.3
BARBOUR,68.4
BARBOUR,68.4
BARBOUR,68.4
BARBOUR,68.4
BARBOUR,68.4
BARBOUR,68.4
BARBOUR,68.5
BARBOUR,68.5
BARBOUR,68.6
BARBOUR,68.6
BARBOUR,68.6
BARBOUR,68.6
BARBOUR,68.6
BARBOUR,68.6
BARBOUR,68.6
BARBOUR,68.6
BARBOUR,68.7
BARBOUR,68.7
BARBOUR,68.7
BARBOUR,68.7
BARBOUR,68.7
BARBOUR,68.8
BARBOUR,68.9
BARBOUR,68.9
BARBOUR,68.9
BARBOUR,68.9
BARBOUR,68.9
BARBOUR,69
BARBOUR,69
BARBOUR,69
BARBOUR,69.1
BARBOUR,69.1
BARBOUR,69.1
BARBOUR,69.2
BARBOUR,69.2
BARBOUR,69.3
BARBOUR,69.3
BARBOUR,69.3
BARBOUR,69.3
BARBOUR,69.4
BARBOUR,69.6
BARBOUR,69.7
BARBOUR,69.7
BARBOUR,69.8
BARBOUR,69.8
BARBOUR,69.8
BARBOUR,69.9
BARBOUR,69.9
BARBOUR,69.9
BARBOUR,70
BARBOUR,70
BARBOUR,70.1
BARBOUR,70.1
BARBOUR,70.1
BARBOUR,70.1
BARBOUR,70.2
BARBOUR,70.2
BARBOUR,70.2
BARBOUR,70.2
BARBOUR,70.3
BARBOUR,70.3
BARBOUR,70.3
BARBOUR,70.3
BARBOUR,70.3
BARBOUR,70.3
BARBOUR,70.4
BARBOUR,70.4
BARBOUR,70.4
BARBOUR,70.4
BARBOUR,70.5
BARBOUR,70.5
BARBOUR,70.6
BARBOUR,70.6
BARBOUR,70.6
BARBOUR,70.7
BARBOUR,70.7
BARBOUR,70.7
BARBOUR,70.7
BARBOUR,70.8
BARBOUR,70.8
BARBOUR,70.8
BARBOUR,70.8
BARBOUR,70.8
BARBOUR,70.9
BARBOUR,70.9
BARBOUR,70.9
BARBOUR,71
BARBOUR,71
BARBOUR,71.1
BARBOUR,71.1
BARBOUR,71.1
BARBOUR,71.1
BARBOUR,71.1
BARBOUR,71.1
BARBOUR,71.2
BARBOUR,71.2
BARBOUR,71.3
BARBOUR,71.3
BARBOUR,71.3
BARBOUR,71.4
BARBOUR,71.4
BARBOUR,71.4
BARBOUR,71.4
BARBOUR,71.4
BARBOUR,71.5
BARBOUR,71.5
BARBOUR,71.5
BARBOUR,71.5
BARBOUR,71.5
BARBOUR,71.5
BARBOUR,71.5
BARBOUR,71.6
BARBOUR,71.7
BARBOUR,71.7
BARBOUR,71.7
BARBOUR,71.7
BARBOUR,71.8
BARBOUR,71.8
BARBOUR,71.8
BARBOUR,71.8
BARBOUR,71.9
BARBOUR,71.9
BARBOUR,71.9
BARBOUR,72
BARBOUR,72
BARBOUR,72.1
BARBOUR,72.1
BARBOUR,72.1
BARBOUR,72.1
BARBOUR,72.1
BARBOUR,72.1
BARBOUR,72.2
BARBOUR,72.2
BARBOUR,72.2
BARBOUR,72.3
BARBOUR,72.3
BARBOUR,72.3
BARBOUR,72.3
BARBOUR,72.3
BARBOUR,72.4
BARBOUR,72.4
BARBOUR,72.5
BARBOUR,72.5
BARBOUR,72.5
BARBOUR,72.6
BARBOUR,72.6
BARBOUR,72.6
BARBOUR,72.6
BARBOUR,72.7
BARBOUR,72.7
BARBOUR,72.7
BARBOUR,72.7
BARBOUR,72.8
BARBOUR,72.8
BARBOUR,72.8
BARBOUR,72.9
BARBOUR,72.9
BARBOUR,72.9
BARBOUR,73
BARBOUR,73
BARBOUR,73.1
BARBOUR,73.1
BARBOUR,73.2
BARBOUR,73.2
BARBOUR,73.3
BARBOUR,73.3
BARBOUR,73.3
BARBOUR,73.3
BARBOUR,73.3
BARBOUR,73.3
BARBOUR,73.4
BARBOUR,73.4
BARBOUR,73.4
BARBOUR,73.4
BARBOUR,73.4
BARBOUR,73.5
BARBOUR,73.5
BARBOUR,73.6
BARBOUR,73.7
BARBOUR,73.7
BARBOUR,73.9
BARBOUR,73.9
BARBOUR,73.9
BARBOUR,73.9
BARBOUR,74
BARBOUR,74
BARBOUR,74.3
BARBOUR,74.3
BARBOUR,74.3
BARBOUR,74.4
BARBOUR,74.4
